formula,bandgap,formation_energy,n_sites,volume,density,volume_per_atm,n_elements,mean_electronegativity,electronegativity_diff,mean_atomicmass,mean_row,mean_group
Al2ZnSe4,0.8803999999999991,-1.052454977053571,7,176.22001261926613,4.101047586563478,25.174287517038017,3,1.9366666666666665,0.9399999999999997,57.1168462,3.6666666666666665,13.666666666666666
Al2ZnSe4,2.1529,-1.100773949910713,7,169.0431675063847,4.2751604108999635,24.149023929483526,3,1.9366666666666665,0.9399999999999997,57.1168462,3.6666666666666665,13.666666666666666
Al2ZnTe4,1.625099999999999,-0.7049379838095231,7,216.63505529356988,4.827294166626698,30.947865041938552,3,1.7866666666666664,0.49,73.33017953333334,4.0,13.666666666666666
Al3BN4,3.3606,-1.361155477187498,8,75.09189463984231,3.2679755426636494,9.386486829980289,3,2.23,1.43,17.266412866666666,2.3333333333333335,13.666666666666666
Al3GaN4,3.349899999999999,-1.409947991875,8,85.26757714104187,4.025259826437488,10.658447142630234,3,2.1533333333333333,1.43,36.9037462,3.0,13.666666666666666
Al3GaN4,3.4096,-1.425316268125,8,85.19889294243089,4.028504842139355,10.649861617803861,3,2.1533333333333333,1.43,36.9037462,3.0,13.666666666666666
Al4C3,1.3154,-0.23825637285714302,7,79.90244024318747,2.9917522543387634,11.414634320455352,2,2.08,0.9399999999999997,19.4961193,2.5,13.5
Al4GaSb5,0.9859999999999991,-0.238974703000002,10,302.29575794483554,4.320039273718851,30.229575794483555,3,1.8233333333333333,0.4399999999999997,72.82151286666668,4.0,13.666666666666666
AlAgAu2,1.413399999999999,0.9190235165625,4,891.3481625383877,0.9850972520879433,222.83704063459692,3,2.026666666666667,0.9299999999999999,110.60543586666665,4.666666666666667,11.666666666666666
AlAgO2,1.0623,-2.223438722916666,4,44.577594566169914,6.215196661772486,11.144398641542479,3,2.3266666666666667,1.8299999999999998,50.2830462,3.3333333333333335,13.333333333333334
AlAgO2,1.4090999999999991,-2.304877096666654,8,87.85832335519179,6.306938406220665,10.982290419398973,3,2.3266666666666667,1.8299999999999998,50.2830462,3.3333333333333335,13.333333333333334
AlAgS2,1.634999999999999,-0.8188061551562341,4,75.46961940236693,4.378101181446083,18.867404850591733,3,2.04,0.97,55.6382462,3.6666666666666665,13.333333333333334
AlAgS2,1.8992,-0.904003048906249,8,169.43391449112184,3.9002065302115443,21.17923931139023,3,2.04,0.97,55.6382462,3.6666666666666665,13.333333333333334
AlAgS2,1.7077,-0.833578897656234,4,74.87495279266106,4.4128726302338945,18.718738198165266,3,2.04,0.97,55.6382462,3.6666666666666665,13.333333333333334
AlAgSe2,1.135199999999999,-0.7432121020312501,8,196.76109454324234,4.941582483786731,24.595136817905292,3,2.03,0.9399999999999997,71.26991286666667,4.0,13.333333333333334
AlAgTe2,1.0469,-0.43926148875000204,8,245.06077562489892,5.2859771468178245,30.632596953112365,3,1.8800000000000001,0.49,87.4832462,4.333333333333333,13.333333333333334
AlAs,1.503699999999999,-0.627042776249999,2,45.711095247398035,3.7018177310136027,22.855547623699017,2,1.895,0.5700000000000001,50.9515693,3.5,14.0
