id,formula,bandgap,formation_energy,density,volume,n_elements,energy_per_volume,is_binary,is_ternary,bg_category
mp-10913,GeO2,1.5228000000000002,-2.120475290833334,6.330815484833641,109.784791989849,2,-0.01931483634845707,1,0,medium
mp-1190549,GeO2,3.2454,-2.047458357083334,4.40247893675949,315.7435940580156,2,-0.00648456024323055,1,0,wide
mp-20893,GeO2,0.9845,-0.5317821394444441,4.531571233692041,115.0308400695124,2,-0.004622952758782702,1,0,narrow
mp-223,GeO2,3.2493,-2.076682903888889,4.286376745965896,121.61097279585222,2,-0.017076443483229158,1,0,wide
mp-2633,GeO2,0.7937000000000001,-1.852470107499999,6.419358244129008,108.27052093006829,2,-0.017109644357363955,1,0,narrow
mp-470,GeO2,1.2157,-2.156655663333334,6.20512814957392,56.00426327829353,2,-0.0385087766018203,1,0,medium
mp-733,GeO2,3.250099999999999,-2.077072867222222,4.264932175835284,122.22244677181573,2,-0.016994201327846358,1,0,wide
mp-7812,GeO2,3.2779,-2.063292658333335,3.941344226963124,176.34269454919115,2,-0.011700471423599436,1,0,wide
mp-559144,GePb3O5,2.2709,-1.725229243888888,8.349635185695883,307.9537624613078,3,-0.005602234666983979,0,1,medium
mp-562283,GePb3O5,1.6319,-1.6350074155555552,8.02282433129631,160.24915070020626,3,-0.010202908461052148,0,1,medium
mp-583345,GePb5O7,2.4172,-1.642073899999998,8.082426869823914,2006.242396880186,3,-0.0008184823043085474,0,1,medium
mp-1245424,GePb7N6,0.5269,0.354481259285717,8.931471082896124,1195.1533764106473,3,0.00029659896903802866,0,1,narrow
mp-1245499,GePbN2,1.6699000000000002,0.072411933906252,8.459280197418678,966.8956895725064,3,7.48911539136838e-05,0,1,medium
mp-1245525,GePbN2,1.434399999999999,0.116592173124999,7.202100509152548,283.91861337452406,3,0.0004106535029149335,0,1,medium
mp-553898,GePbO3,2.9339,-1.916117909333333,6.780851276832049,963.397868023716,3,-0.0019889164933113218,0,1,wide
mp-554699,GePbO3,2.7131,-1.929228152999997,6.355755299726998,513.9167066238759,3,-0.0037539704939227743,0,1,wide
mp-624190,GePbS3,1.757899999999999,-0.7325704929999991,4.825704315060559,517.5790037198703,3,-0.0014153790778508642,0,1,medium
mp-541785,GePdS3,1.3441,-0.6512282284999991,4.007212268784747,228.1245165560433,3,-0.00285470513354496,0,1,medium
mp-1101755,GePtS,1.019599999999999,-0.751083493333332,9.697536277919973,205.33518286305315,3,-0.003657841208022601,0,1,medium
mp-20817,GePtSe,0.6596000000000001,-0.7084225741145841,10.327003866612028,222.9813541295109,3,-0.0031770484885616118,0,1,narrow
mp-12910,GeS,0.5488000000000001,-0.425032836249999,4.210199579781512,82.59311211910567,2,-0.005146105109068522,1,0,narrow
mp-2242,GeS,1.237599999999999,-0.50118695875,3.958290699903206,175.6988115830953,2,-0.0028525347111580646,1,0,medium
mp-1071032,GeS2,0.9558,-0.608329779999998,3.281863031686954,138.40426973708355,2,-0.004395310788862204,1,0,narrow
mp-1197287,GeS2,2.2279,-0.655790601944443,2.804545495924188,971.7592892065012,2,-0.0006748488120756064,1,0,medium
mp-2017755,GeS2,2.8353,-0.390720044097221,2.848387174148899,956.8022080709302,2,-0.0004083603077013969,1,0,wide
mp-542613,GeS2,2.254299999999999,-0.6599310905555551,2.836982304474044,960.648620672959,2,-0.000686964074432602,1,0,medium
mp-572892,GeS2,2.2646,-0.6633624314583321,2.768684046510788,1312.4613676311556,2,-0.0005054338724313283,1,0,medium
mp-622213,GeS2,2.1393,-0.647878320416666,2.977745286068089,1220.3162128149263,2,-0.0005309101965647027,1,0,medium
mp-664137,GeS2,2.149,-0.645240488333332,2.710370354464526,502.7621286473626,2,-0.0012833911935039638,1,0,medium
mp-7582,GeS2,2.5975,-0.6457689883333321,3.134754644309891,144.8993327443527,2,-0.004456673306237155,1,0,wide
mp-700,GeSe,0.8988,-0.451703091171873,5.064232302122257,198.83584123189985,2,-0.0022717387789511104,1,0,narrow
mp-10074,GeSe2,1.5188,-0.5668286598958321,4.539852887448027,168.66356540046758,2,-0.003360706021777604,1,0,medium
mp-1190257,GeSe2,1.489199999999999,-0.5724803032291671,3.904949461466224,588.2594245686488,2,-0.0009731765940663814,1,0,medium
mp-540625,GeSe2,1.7063,-0.5793224153125001,4.115928916643514,1488.2818239048045,2,-0.0003892558559860202,1,0,medium
mp-1172873,GeTe,0.6986999999999991,0.090190974999998,5.015197584679304,66.2997493282702,2,0.001360351674233866,1,0,narrow
mp-938,GeTe,0.5565,-0.035467995000001,5.947280906242025,55.9089688107718,2,-0.0006343882878620987,1,0,narrow
mp-1224448,GeTe4Pb3,0.6227,-0.344736568750001,7.435517388580034,269.0265756437202,3,-0.0012814219856351508,0,1,narrow
mp-1224514,GeTe5Pb4,0.6379,-0.391679008999994,7.591386982139583,336.7369186554401,3,-0.001163160281218741,0,1,narrow
mp-756008,GeWO4,1.406199999999999,-1.8651304166666671,6.686224758178522,159.1826760293299,3,-0.011716918343067753,0,1,medium
mp-770711,GeWO4,1.0688,-1.954579286249999,6.442351859917148,330.4169572489336,3,-0.0059154932680329534,0,1,medium
mp-772201,GeWO4,2.5309,-1.88475596875,6.152127782446795,692.0084804331651,3,-0.0027236024153493472,0,1,wide
mp-556130,GeXeF10,2.3433,-1.577530087291666,3.559783234578069,735.0050017443294,3,-0.0021462848328213254,0,1,medium
mp-976247,H(C3N2)4,0.727399999999999,0.41058091517857,3.211919823386452,132.96531868477,3,0.0030878797512001025,0,1,narrow
